listing_id,city,neighborhood,room_type,price,median_neighborhood_price,price_gap_pct,occupancy_rate,occupancy_rank_percentile,amenity_score,review_rank_percentile,competitive_score,peak_month,peak_occupancy_rate
1090135138140865658,austin,78735,entire home/apt,70,83,-15.66,0.8222,82.91,87.32,49.89,70.58,6,0.6638
899242050573007932,austin,78702,entire home/apt,106,140,-24.29,0.1778,23.59,47.42,51.2,51.66,8,0.4783
1456755840054515564,austin,78701,entire home/apt,148,197,-24.87,0.9556,96.22,45.92,54.26,66.75,8,0.3655
1502381309599420857,austin,78701,entire home/apt,200,197,1.52,0.4111,53.91,54.08,0,38.85,8,0.3655
46864527,austin,78702,entire home/apt,227,140,62.14,0.4222,50.61,38.14,29.05,26.92,8,0.4783
1457103319671155641,austin,78734,entire home/apt,119,182,-34.62,0.5667,65.73,17.35,0,42.87,8,0.3991
1284752073079585374,austin,78701,entire home/apt,283,197,43.65,0.8222,87.04,34.69,0,27.99,8,0.3655
38802306,austin,78744,private room,33,46,-28.26,0.2333,27.54,45.88,96.04,64.47,8,0.5379
50623833,austin,78702,entire home/apt,120,140,-14.29,0.7333,77.72,61.86,76.19,69.34,8,0.4783
793611557583559548,austin,78702,entire home/apt,69,140,-50.71,0.8222,84.95,20.62,68.86,69.36,8,0.4783
1379003684919887184,austin,78703,entire home/apt,63,145,-56.55,0.4778,56.49,68.48,51.41,71.27,8,0.389
78884,austin,78704,entire home/apt,103,134,-23.13,0.5556,62.47,39.05,89.81,66.65,8,0.4357
1441379754452847486,austin,78701,private room,261,179,45.81,0.6,70.59,41.84,0,25.84,8,0.3655
977770318014945154,austin,78704,entire home/apt,76,134,-43.28,0.5667,63.46,22.86,0,46.39,8,0.4357
22805603,austin,78704,entire home/apt,115,134,-14.18,0.9556,95.72,23.81,83.8,65.3,8,0.4357
761583668741389597,austin,78725,entire home/apt,152,144,5.56,0.2111,25.17,76.83,77.83,57.03,8,0.5903
1284752073079585374,austin,78701,entire home/apt,283,197,43.65,0.7111,79.18,34.69,0,26.41,8,0.3655
858637867168746631,austin,78757,entire home/apt,124,115,7.83,0.0222,3.05,64.52,89.46,51.76,8,0.4019
1291296664921974255,austin,78752,entire home/apt,140,99,41.41,0.6444,68.17,63.1,58.97,46.73,8,0.5248
461404,austin,78756,entire home/apt,112,112,0,0.6111,68.73,68.92,74.39,64.57,8,0.3765
1284017961958369153,austin,78701,private room,110,179,-38.55,0,0,32.65,0,34.73,8,0.3655
1294969521362782302,austin,78759,entire home/apt,241,110,119.09,0.6889,74.38,48.91,64.31,43.18,12,0.4153
830695233106768907,austin,78741,entire home/apt,82,105,-21.9,0.7111,75.64,51.61,78.06,69.12,8,0.4397
1077014282388377788,austin,78703,entire home/apt,348,145,140,0.4111,50.11,48.91,28.97,29.49,8,0.389
1171167020923872137,austin,78704,entire home/apt,93,134,-30.6,0.3222,40.03,43.81,8.93,45.37,8,0.4357
343889,austin,78702,entire home/apt,52,140,-62.86,0.8222,84.95,34.02,44.55,66.63,8,0.4783
671542965331525254,austin,78704,entire home/apt,394,134,194.03,0.3778,45.79,46.67,50.26,33.39,8,0.4357
20801999,austin,78701,entire home/apt,134,197,-31.98,0.1111,17.35,53.06,98.64,65.99,8,0.3655
1266803324436983919,austin,78734,entire home/apt,255,182,40.11,0.0222,3.12,54.08,36.4,26.21,8,0.3991
638904542538427260,austin,78702,entire home/apt,106,140,-24.29,0.6889,74.06,46.39,73.23,67,8,0.4783
17566215,austin,78757,private room,106,50,112,0.5444,60.87,42.65,21.37,28.18,8,0.4019
42195743,austin,78744,entire home/apt,149,127,17.32,0.6444,68.05,32.14,52.71,44.63,8,0.5379
1508036137124206290,austin,78744,entire home/apt,225,127,77.17,0.0667,8.24,55.95,0,15.64,8,0.5379
1131395862436054889,austin,78703,entire home/apt,95,145,-34.48,0.8222,85.82,54.35,39.94,66.08,8,0.389
50358838,austin,78704,entire home/apt,238,134,77.61,0.0556,7.41,40,86.3,33.06,8,0.4357
839825958820293878,austin,78741,private room,42,46,-8.7,0.1556,21.5,53.57,85.82,56.76,8,0.4397
1436916503142644233,austin,78744,private room,69,46,50,0.8556,86.77,63.53,12.33,36.32,8,0.5379
