listing_id,city,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,availability_rate,avg_min_nights,avg_max_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable,estimated_occupancy_l365d,estimated_revenue_l365d,amenities_count
78884,austin,78704,Entire rental unit,entire home/apt,2,0,2,103,2,150,0.410958904109589,2.0547945205479454,90,219,4.79,4.97,4.78,t,t,84,8652,41
33664380,austin,78702,Entire home,entire home/apt,4,2,2,176,4,329,0.9013698630136986,4,1125,94,4.99,4.98,5,t,t,136,23936,62
583823273939691037,austin,78701,Entire condo,entire home/apt,2,0,1,108,1,215,0.589041095890411,1,1125,209,4.92,4.91,4.87,f,f,255,27540,68
696576290163722477,austin,78705,Entire condo,entire home/apt,4,0,1,82,2,263,0.7205479452054795,2,1125,88,4.68,4.73,4.58,null,t,156,12792,40
1088687068286826708,austin,78722,Entire home,entire home/apt,2,1,1,317,3,61,0.16712328767123288,2.989041095890411,1125,4,5,4.75,4.75,f,t,12,3804,68
1172906802992412462,austin,78727,Entire home,entire home/apt,7,3,3,112,27,275,0.7534246575342466,27,365,1,5,5,5,f,f,54,6048,47
1350202757885977978,austin,78752,Entire home,entire home/apt,6,3,2,179,2,3,0.00821917808219178,2,14,1,5,5,5,f,f,6,1074,51
1415897966965396806,austin,78704,Private room in home,private room,2,1,1,87,1,195,0.5342465753424658,1.3287671232876712,1125,8,5,5,5,f,f,48,4176,61
910361024189460104,austin,78702,Entire rental unit,entire home/apt,2,0,1,92,8,160,0.4383561643835616,7.663013698630137,1125,115,4.95,4.99,4.9,t,t,255,23460,44
1084387841564229775,austin,78704,Entire home,entire home/apt,7,4,7,273,2,53,0.14520547945205478,3,1125,21,4.81,5,4.9,t,t,108,29484,62
1100186402230646863,austin,78746,Entire rental unit,entire home/apt,5,2,3,185,2,233,0.6383561643835617,2,15,8,5,5,4.88,f,f,30,5550,49
1178443215831685369,austin,78719,Entire rental unit,entire home/apt,1,1,1,59,30,65,0.1780821917808219,30,120,5,4.8,4.4,4.4,t,f,180,10620,31
13185632,austin,78704,Entire guest suite,entire home/apt,2,1,1,140,2,85,0.2328767123287671,2,1125,154,4.96,4.99,4.91,t,t,90,12600,59
830212417586995595,austin,78751,Entire home,entire home/apt,2,2,2,129,30,113,0.3095890410958904,29.2986301369863,1125,29,5,5,4.97,t,f,255,32895,55
844957090802617383,austin,78703,Entire resort,entire home/apt,4,1,2,193,2,351,0.9616438356164384,2.747945205479452,365,0,null,null,null,f,f,0,0,63
858637867168746631,austin,78757,Entire guesthouse,entire home/apt,3,1,2,124,2,190,0.5205479452054794,2,1125,111,5,4.98,4.99,t,f,255,31620,60
1265330668245083335,austin,78725,Entire home,entire home/apt,6,4,4,153,4,41,0.11232876712328767,4,365,1,5,5,5,null,f,8,1224,41
1391527201443898210,austin,78745,Entire rental unit,entire home/apt,6,2,3,125,1,14,0.038356164383561646,1,1125,13,4.69,4.08,4.46,t,t,78,9750,49
777481397612323371,austin,78744,Entire home,entire home/apt,4,1,1,80,30,267,0.7315068493150685,1,1125,0,null,null,null,f,t,0,0,40
1185013902998429563,austin,78753,Private room in home,private room,1,1,1,42,7,83,0.2273972602739726,7,365,6,5,5,4.83,f,f,42,1764,48
1219558524003202334,austin,78701,Entire condo,entire home/apt,4,1,2,195,2,358,0.9808219178082191,2,1125,13,4.85,4.85,4.85,f,t,78,15210,47
1237658493444716616,austin,78702,Entire home,entire home/apt,10,3,4,356,2,347,0.9506849315068493,2.389041095890411,366,21,5,4.9,4.95,t,f,126,44856,69
343889,austin,78702,Entire rental unit,entire home/apt,2,0,1,52,30,221,0.6054794520547945,27.706849315068492,1125,43,4.77,4.86,4.67,t,f,255,13260,33
14220861,austin,78744,Private room in home,private room,1,1,1,47,30,330,0.9041095890410958,30,122,21,4.95,4.81,4.95,t,f,60,2820,35
45610693,austin,78702,Private room in home,private room,1,1,1,58,1,230,0.6301369863013698,1.284931506849315,1125,347,4.98,4.92,4.92,t,f,255,14790,41
1077014282388377788,austin,78703,Entire home,entire home/apt,10,4,5,348,1,47,0.12876712328767123,2.410958904109589,365,8,5,5,4.88,f,t,0,0,45
1343104477373783111,austin,78758,Entire home,entire home/apt,4,2,2,114,30,195,0.5342465753424658,30,365,0,null,null,null,f,f,0,0,47
18227140,austin,78741,Entire home,entire home/apt,12,4,7,343,2,347,0.9506849315068493,2,1125,223,4.93,4.82,4.91,t,t,108,37044,69
23394896,austin,78704,Entire home,entire home/apt,6,3,3,258,2,132,0.36164383561643837,2.9068493150684933,730,46,4.91,4.93,4.83,t,f,72,18576,71
47156486,austin,78721,Tiny home,entire home/apt,3,1,1,68,2,355,0.9726027397260274,2,365,211,4.88,4.82,4.84,t,t,255,17340,58
52269776,austin,78704,Entire home,entire home/apt,16,6,12,371,3,236,0.6465753424657534,2.9616438356164383,1125,36,4.83,4.86,4.75,t,t,84,31164,60
53326418,austin,78704,Camper/RV,entire home/apt,2,1,1,162,2,245,0.6712328767123288,2,1125,46,4.89,4.98,4.72,null,t,66,10692,74
638904542538427260,austin,78702,Entire guesthouse,entire home/apt,2,1,1,106,2,200,0.547945205479452,1.284931506849315,1125,133,4.91,4.89,4.84,t,f,252,26712,45
830695233106768907,austin,78741,Entire rental unit,entire home/apt,6,2,3,82,1,47,0.12876712328767123,1,365,74,4.92,4.74,4.82,t,f,216,17712,48
955833527387385803,austin,78746,Entire home,entire home/apt,8,4,5,428,2,27,0.07397260273972603,2,365,31,4.94,4.97,4.87,t,t,18,7704,70
1257346256376683274,austin,78704,Entire home,entire home/apt,5,2,2,120,1,321,0.8794520547945206,1.1753424657534246,365,5,4.6,4.8,4.4,f,t,30,3600,47
1401481341113764941,austin,78701,Room in hotel,private room,4,0,2,155,3,279,0.7643835616438356,2.9945205479452053,28,0,null,null,null,f,t,0,0,40
1436916503142644233,austin,78744,Private room in home,private room,1,1,1,69,2,70,0.1917808219178082,2,14,1,5,5,5,f,f,6,414,54
1489904741288991493,austin,78748,Entire home,entire home/apt,8,3,5,179,2,89,0.24383561643835616,2,7,0,null,null,null,f,f,0,0,12
31825683,austin,78745,Entire townhouse,entire home/apt,4,2,2,166,2,12,0.03287671232876712,2,1125,26,4.92,4.77,4.92,t,f,60,9960,40
53815973,austin,78739,Entire guesthouse,entire home/apt,2,1,1,120,2,160,0.4383561643835616,2.6191780821917807,1125,99,4.98,4.99,4.95,null,f,144,17280,55
54054710,austin,78737,Camper/RV,entire home/apt,4,1,2,90,2,258,0.7068493150684931,2,1125,75,4.97,4.93,4.91,t,f,36,3240,60
552079972521813409,austin,78748,Private room in home,private room,2,1,1,60,1,213,0.5835616438356165,1,365,171,4.98,4.89,4.95,f,f,234,14040,43
581311848630035943,austin,78753,Entire home,entire home/apt,4,2,2,75,30,0,0,30,365,3,5,4.67,4.67,t,f,0,0,46
662304755661101274,austin,78729,Entire home,entire home/apt,10,3,5,216,3,188,0.5150684931506849,2.808219178082192,365,110,4.79,4.79,4.76,f,f,132,28512,77
