listing_id,city,avg_sentiment_score,pct_positive,total_reviews,cleanliness_mentions,wifi_mentions,checkin_mentions,location_mentions,noise_mentions,host_mentions,value_mentions,sentiment_category,top_praise,top_complaint
1333125018634980770,seattle,0.551,0.912,34,6,0,0,9,1,6,8,Very Positive,location,value
21922221,chicago,0.806,1,6,1,0,0,2,1,3,0,Very Positive,host responsiveness,noise
1401607465309448250,chicago,0.716,0.9,20,7,0,3,10,3,8,0,Very Positive,location,cleanliness
1368972578763289457,twin_cities,0.758,0.947,19,7,0,1,10,1,7,1,Very Positive,location,cleanliness
23752202,nashville,0.914,0.996,225,53,0,33,180,36,80,7,Very Positive,location,cleanliness
823879694871437688,nashville,0.836,0.988,243,102,1,17,134,19,105,16,Very Positive,location,cleanliness
44447948,seattle,0.876,1,37,21,0,3,16,6,23,3,Very Positive,host responsiveness,cleanliness
1106590124492797889,austin,0.881,0.993,292,111,3,14,62,30,117,11,Very Positive,host responsiveness,cleanliness
583823273939691037,austin,0.85,0.99,209,45,2,31,135,14,69,8,Very Positive,location,cleanliness
786194636674358868,austin,0.855,0.964,55,12,0,4,20,9,16,4,Very Positive,location,cleanliness
1319976735866847631,chicago,0.873,0.944,36,14,0,1,10,0,26,2,Very Positive,host responsiveness,cleanliness
44085884,chicago,0.909,1,20,2,1,1,15,1,14,0,Very Positive,location,cleanliness
36491125,seattle,0.876,0.98,50,9,2,6,39,6,20,2,Very Positive,location,cleanliness
772423437416351327,seattle,0.959,1,22,7,1,0,16,3,11,1,Very Positive,location,cleanliness
1138751400323352928,seattle,0.769,0.948,58,17,1,3,27,6,16,1,Very Positive,location,cleanliness
875223435767167901,twin_cities,0.811,0.923,13,1,0,0,1,1,9,0,Very Positive,host responsiveness,noise
7678127,chicago,0.792,0.956,363,73,0,18,237,17,118,20,Very Positive,location,cleanliness
629601271707303342,twin_cities,0.787,0.973,37,10,1,3,14,3,9,2,Very Positive,location,cleanliness
24245679,nashville,0.816,0.971,244,64,1,12,127,56,59,12,Very Positive,location,cleanliness
29035011,austin,0.838,0.952,42,9,1,0,17,8,20,1,Very Positive,host responsiveness,cleanliness
53508162,nashville,0.832,0.988,86,29,0,4,37,7,14,3,Very Positive,location,cleanliness
26566116,seattle,0.784,0.936,47,6,4,5,25,9,11,1,Very Positive,location,noise
54397152,seattle,0.857,0.962,158,48,1,9,79,21,91,7,Very Positive,host responsiveness,cleanliness
23074190,nashville,0.907,0.99,100,31,1,8,50,19,37,2,Very Positive,location,cleanliness
16613520,nashville,0.803,0.962,340,53,11,16,257,44,115,46,Very Positive,location,cleanliness
3689461,seattle,0.842,0.931,58,14,0,6,34,8,31,2,Very Positive,location,cleanliness
1401358674732436634,chicago,0.614,0.846,13,9,0,3,5,5,5,1,Very Positive,cleanliness,cleanliness
833363400738218379,twin_cities,0.853,0.98,99,20,0,2,33,11,29,5,Very Positive,location,cleanliness
53432514,seattle,0.886,0.929,14,3,3,0,5,2,8,0,Very Positive,host responsiveness,cleanliness
902774912361923889,twin_cities,0.919,1,80,37,0,3,36,11,29,3,Very Positive,cleanliness,cleanliness
716067339330031421,austin,0.862,0.984,62,25,0,5,38,10,23,0,Very Positive,location,cleanliness
720328633552951906,twin_cities,0.847,1,48,11,0,2,20,9,14,1,Very Positive,location,cleanliness
884022569601206142,seattle,0.636,0.957,23,7,1,2,12,1,6,1,Very Positive,location,cleanliness
34303597,chicago,0.824,0.961,51,20,2,6,39,13,19,1,Very Positive,location,cleanliness
1216690775512781227,twin_cities,0.827,1,17,6,0,0,3,5,2,0,Very Positive,cleanliness,cleanliness
39561422,seattle,0.873,0.981,362,93,1,25,185,43,113,10,Very Positive,location,cleanliness
1416433028411087979,seattle,0.852,0.929,28,14,0,4,20,6,17,0,Very Positive,location,cleanliness
1131450096636296178,austin,0.817,0.923,13,2,0,2,4,1,7,0,Very Positive,host responsiveness,cleanliness
