listing_id,city,review_id,review_date,reviewer_id,reviewer_name,comments,source_file,ingestion_timestamp,neighbourhood_cleansed,room_type,price
78884,austin,1495139580589557157,2025-08-24,160261225,Sydney,"Cozy and characteristic space. Everything you could need for a trip, and lots to do in the area.",austin_reviews.csv,2026-04-13T02:03:58.118Z,78704,entire home/apt,103
82439,twin_cities,1449390448620573862,2025-06-22,191453241,Andrew,"Keith, is awesome. Made sure we had everything we needed and then did an amazing job to make sure we had all the privacy we needed. Was a great value for the price.",twin_cities_reviews.csv,2026-04-13T02:03:58.118Z,Hennepin,private room,59
343889,austin,1425544987777699210,2025-05-20,51024033,Rohitkumar,I had a very nice stay. Darcy was always helpful and responsive. Great location as well.,austin_reviews.csv,2026-04-13T02:03:58.118Z,78702,entire home/apt,52
431258,nashville,1490048990728622575,2025-08-17,568561655,Kimberly,"Rick was an excellent host! We were especially impressed with the thoughtful amenities like the Keurig with an assortment of coffee pods, and a couple beers upon our arrival. <br/>The bedrooms are beautifully appointed, the beds were comfortable and the backyard was perfect!<br/>If you want a nice, comfortable, cozy stay that’s 5 minutes away from all that NashVegas has to offer, this is the place!",nashville_reviews.csv,2026-04-13T02:03:58.118Z,District 19,entire home/apt,216
461404,austin,1426939398356115604,2025-05-22,502204239,Richard,"Outstanding!!!  That describes my six-night stay at Nita's property.  My adult son and I fully enjoyed our visit to Austin and a large part of that was due to the beautiful accommodations afforded us as guests in Nita's home.  Nita was very clear and responsive to any questions or needs that we had.  The house had everything that we required.  Peaceful neighborhood, easy access to all Austin destinations and my favorite – a beautiful fenced in yard at the back of the house with a covered deck.  The back deck was the perfect start and finish to every day.  Again “OUTSTANDING”.",austin_reviews.csv,2026-04-13T02:03:58.118Z,78756,entire home/apt,112
637710,seattle,1502396337221000373,2025-09-03,467360893,Ethan,"Can't say enough good things about our stay, Farhad is a wonderful host and person. Home was in a beautiful, lively, and convienent location with plenty to do and was equipt with all sorts of appliances and amenities. Our group loved how open Farhad was with letting us use his equipment to jam in the downstairs half-basement turned practice space. Would love to stay here again in the future. Thanks again, Farhad!",seattle_reviews.csv,2026-04-13T02:03:58.118Z,Fremont,entire home/apt,222
825940,austin,1358198142594679073,2025-02-16,12815999,David,"Max's place in Austin was perfect for my ten day stay. It is in a very cute neighborhood, walkable to many destinations, and seemingly everywhere I wanted to drive was within 5-15 minutes. The home was clean and Max was very accommodating, answering all of my questions about his home and Austin. I highly recommend this location if you are visiting Austin. I hope to be able to return to Austin and will definitely stay here if available in future.",austin_reviews.csv,2026-04-13T02:03:58.118Z,78704,private room,60
947412,austin,1067485042099892434,2024-01-12,398419559,Ann,"Very clean, comfortable and stocked with everything I needed.",austin_reviews.csv,2026-04-13T02:03:58.118Z,78745,entire home/apt,131
949922,austin,1492976213252469104,2025-08-21,417250441,Sofia,"Very nice stay. Was very comfortable , and was a great location with a lot of things to do nearby. 10/10 would recommend and stay again.",austin_reviews.csv,2026-04-13T02:03:58.118Z,78723,entire home/apt,65
2083878,nashville,1505930777311174981,2025-09-08,20174106,Lance,"The place was clean and conveniently located downtown. The directions from the app go to the wrong street, I mentioned this to the owner, they were apologetic.",nashville_reviews.csv,2026-04-13T02:03:58.118Z,District 19,entire home/apt,106
2699594,nashville,1487890840279310572,2025-08-14,477020726,Nathan,"Our stay at Cal’s Airbnb was fantastic! The place was spotless, very comfortable, and you can’t beat the location right over the Boot Barn on Broadway. Despite being in the heart of all the action, noise was never an issue. Cal’s communication was excellent and made everything easy. Would definitely stay here again!",nashville_reviews.csv,2026-04-13T02:03:58.118Z,District 19,entire home/apt,184
3083343,chicago,1491431880600947448,2025-08-19,29752169,Sarah,Loved the location,chicago_reviews.csv,2026-04-13T02:03:58.118Z,Logan Square,entire home/apt,177
3432834,austin,1500840324040540451,2025-09-01,14869945,Jacquelyn,Jennifer's place is great. It has a lot of great restaurants and bars within walking distance. Her airbnb has all the amenities you can think of. I enjoyed my stay and would recommend to anyone.,austin_reviews.csv,2026-04-13T02:03:58.118Z,78702,entire home/apt,81
3469590,seattle,947935734915694472,2023-07-31,140272285,Mary Beth,The back porch at this house makes it special. It overlooks a hilly green section of Seattle and your nestled amongst the pines so it feels very private and as if you are in a green forest.  On summer nights the porch is dreamy. The house is furnished in a very tasteful way and is very clean. The location is fabulous because you can walk to Moderna and restaurants there and  have a selection of grocery store on East Union St. as well.  Very central located to the rest of Seattle and walking distance from the Arboretum.,seattle_reviews.csv,2026-04-13T02:03:58.118Z,Mann,entire home/apt,185
3689461,seattle,1509655988632514910,2025-09-13,245761291,재형,"장점: 시애틀 다운타운 위치. 다운타운 명소 다 걸어다닐 수 있음. 특히 Starbucks roastery 매우 가까움. 숙소랑 지하철역이랑 5분 거리라 야구장, 미식축구 구장, 워싱턴 대학교도 금방 갈 수 있음. 친절한 호스트. 간단한 스낵 준비. <br/>단점: 숙소가 좀 으슥한 데 있어서 밤에 노숙자나 대마초 피우는 사람들 종종 마주칠 수 있으나, 이건 시애틀 전체 문제이고 밤 늦게 외출 안 하면 됨.<br/>장점이 단점보다 압도적으로 많은 숙소👍",seattle_reviews.csv,2026-04-13T02:03:58.118Z,First Hill,entire home/apt,194
4286182,seattle,1514743103158945476,2025-09-20,70836880,Lane Blenda,Ted’s place was great. Very cute and in a nice neighborhood. Convenient to get around. And within walking distance to several restaurants. Definitely recommend eating at Communion. Ted was very accommodating. Thanks for a great stay!,seattle_reviews.csv,2026-04-13T02:03:58.118Z,Mann,entire home/apt,134
